,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),Class,Answer
49,5.0,3.3,1.4,0.2,0,0.0009704431070496147
50,7.0,3.2,4.7,1.4,1,0.9994638830328221
51,6.4,3.2,4.5,1.5,1,0.9999999908362524
52,6.9,3.1,4.9,1.5,1,0.9999999940014209
53,5.5,2.3,4.0,1.3,1,0.9999999533414836
54,6.5,2.8,4.6,1.5,1,0.9999999953432226
55,5.7,2.8,4.5,1.3,1,0.9999999972921787
56,6.3,3.3,4.7,1.6,1,0.9999999965615498
57,4.9,2.4,3.3,1.0,1,0.999999759664016
58,6.6,2.9,4.6,1.3,1,0.9999999966988674
59,5.2,2.7,3.9,1.4,1,0.9999965461240118
60,5.0,2.0,3.5,1.0,1,0.9999999952236668
61,5.9,3.0,4.2,1.5,1,0.9999999913618909
62,6.0,2.2,4.0,1.0,1,0.9999999972547985
63,6.1,2.9,4.7,1.4,1,0.9999999968914624
64,5.6,2.9,3.6,1.3,1,0.9999999980871859
65,6.7,3.1,4.4,1.4,1,0.9997852824030605
66,5.6,3.0,4.5,1.5,1,0.9999999872985675
67,5.8,2.7,4.1,1.0,1,0.999999997779736
68,6.2,2.2,4.5,1.5,1,0.9928601448562242
69,5.6,2.5,3.9,1.1,1,0.999999997776352
70,5.9,3.2,4.8,1.8,1,0.9986279172185568
71,6.1,2.8,4.0,1.3,1,0.9999999931951493
72,6.3,2.5,4.9,1.5,1,0.9999923323725417
73,6.1,2.8,4.7,1.2,1,0.9999999963290396
74,6.4,2.9,4.3,1.3,1,0.9999999933537698
75,6.6,3.0,4.4,1.4,1,0.9999999483428489
76,6.8,2.8,4.8,1.4,1,0.9999994101043893
77,6.7,3.0,5.0,1.7,1,0.9977062232048545
78,6.0,2.9,4.5,1.5,1,0.9999999957829081
79,5.7,2.6,3.5,1.0,1,0.9999999984416804
80,5.5,2.4,3.8,1.1,1,0.9999999976050927
81,5.5,2.4,3.7,1.0,1,0.9999999977932508
82,5.8,2.7,3.9,1.2,1,0.9999999969905328
83,6.0,2.7,5.1,1.6,1,0.9886239913114667
84,5.4,3.0,4.5,1.5,1,0.9999999208407159
85,6.0,3.4,4.5,1.6,1,0.9999999880923656
86,6.7,3.1,4.7,1.5,1,0.9999999952474715
87,6.3,2.3,4.4,1.3,1,0.9884275415793687
88,5.6,3.0,4.1,1.3,1,0.9999999964227523
89,5.5,2.5,4.0,1.3,1,0.9999999930233284
90,5.5,2.6,4.4,1.2,1,0.9999999962284939
91,6.1,3.0,4.6,1.4,1,0.999999997652117
92,5.8,2.6,4.0,1.2,1,0.9999999976335198
93,5.0,2.3,3.3,1.0,1,0.9999999870509724
94,5.6,2.7,4.2,1.3,1,0.9999999968311465
95,5.7,3.0,4.2,1.2,1,0.9999999975530217
96,5.7,2.9,4.2,1.3,1,0.9999999974065946
97,6.2,2.9,4.3,1.3,1,0.9999999970288744
98,5.1,2.5,3.0,1.1,1,0.999999997904647
99,5.7,2.8,4.1,1.3,1,0.9999999971499899
100,6.3,3.3,6.0,2.5,-1,-0.9999999952014352
101,5.8,2.7,5.1,1.9,-1,-0.9999999985724307
102,7.1,3.0,5.9,2.1,-1,-0.9937812677517195
103,6.3,2.9,5.6,1.8,-1,-0.9988719283779984
104,6.5,3.0,5.8,2.2,-1,-0.9999999988905086
105,7.6,3.0,6.6,2.1,-1,-0.9999975267145192
106,4.9,2.5,4.5,1.7,-1,-0.9999999991376574
107,7.3,2.9,6.3,1.8,-1,-0.9972815771547168
108,6.7,2.5,5.8,1.8,-1,-0.9999994721098009
109,7.2,3.6,6.1,2.5,-1,-0.9999999119900912
110,6.5,3.2,5.1,2.0,-1,-0.9999844181750092
111,6.4,2.7,5.3,1.9,-1,-0.999999918058831
112,6.8,3.0,5.5,2.1,-1,-0.999999687134255
113,5.7,2.5,5.0,2.0,-1,-0.9999999994499271
114,5.8,2.8,5.1,2.4,-1,-0.9999999951122258
115,6.4,3.2,5.3,2.3,-1,-0.9999999078834483
116,6.5,3.0,5.5,1.8,-1,-0.995405357429746
117,7.7,3.8,6.7,2.2,-1,-0.9999995394898297
118,7.7,2.6,6.9,2.3,-1,-0.9999998941481346
119,6.0,2.2,5.0,1.5,-1,-0.9999995514658413
120,6.9,3.2,5.7,2.3,-1,-0.9999998834517458
121,5.6,2.8,4.9,2.0,-1,-0.9999999322631554
122,7.7,2.8,6.7,2.0,-1,-0.9999960831326955
123,6.3,2.7,4.9,1.8,-1,-0.999999092774285
124,6.7,3.3,5.7,2.1,-1,-0.9999998051380029
125,7.2,3.2,6.0,1.8,-1,-0.999755205106931
126,6.2,2.8,4.8,1.8,-1,-0.9999988792210547
127,6.1,3.0,4.9,1.8,-1,-0.999762551272287
128,6.4,2.8,5.6,2.1,-1,-0.9999999987871335
129,7.2,3.0,5.8,1.6,-1,-0.9918329383662511
130,7.4,2.8,6.1,1.9,-1,-0.9995678979692687
131,7.9,3.8,6.4,2.0,-1,-0.999999725757428
132,6.4,2.8,5.6,2.2,-1,-0.9999999993465484
133,6.3,2.8,5.1,1.5,-1,-0.9938323964105562
134,6.1,2.6,5.6,1.4,-1,-0.9999821297929803
135,7.7,3.0,6.1,2.3,-1,-0.9995490811819921
136,6.3,3.4,5.6,2.4,-1,-0.9999999094596798
137,6.4,3.1,5.5,1.8,-1,-0.9999794976421273
138,6.0,3.0,4.8,1.8,-1,-0.99387654275073
139,6.9,3.1,5.4,2.1,-1,-0.9999998901362223
140,6.7,3.1,5.6,2.4,-1,-0.9999999163668895
141,6.9,3.1,5.1,2.3,-1,-0.9999999345224163
142,5.8,2.7,5.1,1.9,-1,-0.9999999985724307
143,6.8,3.2,5.9,2.3,-1,-0.9999998631318275
144,6.7,3.3,5.7,2.5,-1,-0.9999999145424846
145,6.7,3.0,5.2,2.3,-1,-0.9999999189660045
146,6.3,2.5,5.0,1.9,-1,-0.9999999964965103
147,6.5,3.0,5.2,2.0,-1,-0.9999998359139466
148,6.2,3.4,5.4,2.3,-1,-0.9999998868468184
149,5.9,3.0,5.1,1.8,-1,-0.9999993612403837
